model_id,model_name
1,tiiuae/Falcon3-7B-Instruct
2,Qwen/Qwen2.5-7B-Instruct
3,nvidia/AceInstruct-7B
4,internlm/internlm2_5-7b-chat
5,Qwen/Qwen2.5-7B-Instruct-1M
6,microsoft/Phi-3-small-8k-instruct
7,microsoft/Phi-3-small-128k-instruct
8,CohereForAI/c4ai-command-r7b-12-2024
9,ibm-granite/granite-3.2-8b-instruct
10,ibm-granite/granite-3.1-8b-instruct
11,nvidia/AceMath-7B-Instruct
12,01-ai/Yi-1.5-9B-Chat
13,tiiuae/Falcon3-Mamba-7B-Instruct
14,Qwen/Qwen2.5-Coder-7B-Instruct
15,Qwen/Qwen2-7B-Instruct
16,mlabonne/NeuralDaredevil-8B-abliterated
17,Qwen/Qwen2-VL-7B-Instruct
18,allenai/Llama-3.1-Tulu-3-8B-DPO
19,allenai/Llama-3.1-Tulu-3-8B
20,allenai/Llama-3.1-Tulu-3-8B
21,Qwen/Qwen2.5-7B
22,cognitivecomputations/dolphin-2.9.1-yi-1.5-9b
23,cognitivecomputations/Dolphin3.0-Llama3.1-8B
24,NousResearch/Hermes-2-Theta-Llama-3-8B
25,tiiuae/Falcon3-7B-Base
26,mistralai/Ministral-8B-Instruct-2410
27,ibm-granite/granite-3.0-8b-instruct
28,Qwen/Qwen2-7B
29,meta-llama/Meta-Llama-3-8B-Instruct
30,01-ai/Yi-1.5-9B-Chat-16K
31,meta-llama/Llama-3.1-8B-Instruct
32,nvidia/Mistral-NeMo-Minitron-8B-Instruct
33,NousResearch/Hermes-3-Llama-3.1-8B
34,mlabonne/Meta-Llama-3.1-8B-Instruct-abliterated
35,refuelai/Llama-3-Refueled
36,openchat/openchat-3.6-8b-20240522
37,01-ai/Yi-1.5-6B-Chat
38,openchat/openchat-3.5-1210
39,openchat/openchat-3.5-0106
40,allenai/Llama-3.1-Tulu-3-8B-SFT
41,Qwen/Qwen2.5-Coder-7B-Instruct
42,mlabonne/Daredevil-8B
43,CohereForAI/aya-expanse-8b
44,01-ai/Yi-1.5-9B
45,NousResearch/Hermes-2-Pro-Llama-3-8B
46,NousResearch/Hermes-2-Pro-Mistral-7B
47,allenai/OLMo-2-1124-7B-Instruct
48,Qwen/Qwen2.5-Math-7B-Instruct
49,ibm-granite/granite-3.0-8b-base
50,openchat/openchat_3.5
51,mlabonne/NeuralDaredevil-8B-abliterated
52,Intel/neural-chat-7b-v3-2
53,teknium/OpenHermes-2-Mistral-7B
54,teknium/OpenHermes-2.5-Mistral-7B
55,cognitivecomputations/dolphin-2.9.2-qwen2-7b
56,NousResearch/Nous-Hermes-2-Mistral-7B-DPO
57,Intel/neural-chat-7b-v3-1
58,berkeley-nest/Starling-LM-7B-alpha
59,mlabonne/ChimeraLlama-3-8B-v3
60,meta-llama/Meta-Llama-3-8B-Instruct
61,Intel/neural-chat-7b-v3-3
62,mlabonne/ChimeraLlama-3-8B-v2
63,ibm-granite/granite-3.1-8b-base
64,argilla-warehouse/Llama-3.1-8B-MagPie-Ultra
65,01-ai/Yi-1.5-9B-32K
66,mlabonne/Daredevil-8B-abliterated
67,cognitivecomputations/dolphin-2.9.3-mistral-7B-32k
68,mistralai/Mistral-7B-Instruct-v0.3
69,Qwen/Qwen2.5-Coder-7B
70,abacusai/Llama-3-Smaug-8B
71,mlabonne/NeuralBeagle14-7B
72,HuggingFaceH4/zephyr-7b-alpha
73,Salesforce/LLaMA-3-8B-SFR-Iterative-DPO-R
74,mistralai/Mistral-7B-Instruct-v0.2
75,argilla/notus-7b-v1
76,cognitivecomputations/dolphin-2.9-llama3-8b
77,gradientai/Llama-3-8B-Instruct-Gradient-1048k
78,tiiuae/Falcon3-Mamba-7B-Base
79,Intel/neural-chat-7b-v3
80,Qwen/Qwen2.5-Math-7B
81,01-ai/Yi-9B
82,HuggingFaceH4/zephyr-7b-beta
83,01-ai/Yi-9B-200K
84,Open-Orca/Mistral-7B-OpenOrca
85,nvidia/Mistral-NeMo-Minitron-8B-Base
86,google/gemma-1.1-7b-it
87,mlabonne/AlphaMonarch-7B
88,Qwen/Qwen1.5-7B-Chat
89,allenai/OLMoE-1B-7B-0125-Instruct
90,Deci/DeciLM-7B-instruct
91,01-ai/Yi-Coder-9B-Chat
92,ibm/merlinite-7b
93,01-ai/Yi-1.5-6B
94,HuggingFaceH4/zephyr-7b-gemma-v0.1
95,Qwen/Qwen1.5-7B
96,CohereForAI/aya-23-8B
97,google/gemma-7b
98,TencentARC/LLaMA-Pro-8B-Instruct
99,tiiuae/falcon-mamba-7b
100,mlabonne/OrpoLlama-3-8B
101,Deci/DeciLM-7B
102,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B
103,deepseek-ai/deepseek-llm-7b-chat
104,mistralai/Mistral-7B-v0.1
105,meta-llama/Llama-3.1-8B
106,microsoft/Orca-2-7b
107,teknium/CollectiveCognition-v1.1-Mistral-7B
108,mistralai/Mistral-7B-v0.3
109,nvidia/Minitron-8B-Base
110,mistral-community/Mistral-7B-v0.2
111,TencentARC/Mistral_Pro_8B_v0.1
112,01-ai/Yi-6B-Chat
113,allenai/OLMoE-1B-7B-0924-Instruct
114,meta-llama/Meta-Llama-3-8B
115,01-ai/Yi-6B
116,NousResearch/Yarn-Mistral-7b-64k
117,NousResearch/Yarn-Mistral-7b-128k
118,google/gemma-7b-it
119,deepseek-ai/DeepSeek-R1-Distill-Llama-8B
120,mistralai/Mistral-7B-Instruct-v0.1
121,nvidia/OpenMath2-Llama3.1-8B
122,TencentARC/MetaMath-Mistral-Pro
123,ibm-granite/granite-7b-instruct
124,Qwen/Qwen2-Math-7B
125,01-ai/Yi-6B-200K
126,lmsys/vicuna-7b-v1.5
127,allenai/OLMo-7B-Instruct-hf
128,meta-llama/Llama-2-7b-chat-hf
129,teknium/OpenHermes-7B
130,NousResearch/Nous-Hermes-llama-2-7b
131,TencentARC/LLaMA-Pro-8B
132,meta-llama/Llama-2-7b-hf
133,internlm/internlm2-1_8b
134,lmsys/vicuna-7b-v1.3
135,bigcode/starcoder2-7b
136,togethercomputer/Llama-2-7B-32K-Instruct
137,deepseek-ai/deepseek-llm-7b-base
138,ibm-granite/granite-7b-base
139,allenai/OLMoE-1B-7B-0924
140,NousResearch/Yarn-Llama-2-7b-64k
141,cognitivecomputations/dolphin-2.9.4-llama3.1-8b
142,databricks/dolly-v1-6b
143,togethercomputer/GPT-JT-6B-v1
144,allenai/OLMo-7B-hf
145,togethercomputer/LLaMA-2-7B-32K
146,NousResearch/Yarn-Llama-2-7b-128k
147,EleutherAI/gpt-j-6b
148,togethercomputer/RedPajama-INCITE-7B-Instruct
149,mosaicml/mpt-7b
150,EleutherAI/pythia-6.9b
151,databricks/dolly-v2-7b
152,togethercomputer/RedPajama-INCITE-7B-Base
153,PygmalionAI/pygmalion-6b
154,tiiuae/falcon-7b
155,tiiuae/falcon-7b-instruct
156,allenai/Llama-3.1-Tulu-3-8B-RM
157,togethercomputer/RedPajama-INCITE-7B-Chat
158,bigscience/bloom-7b1
159,nvidia/AceMath-7B-RM
